,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue
0,5524,1957,Graduation,Single,58138,0,0,635,88,546,172,88,88,8,10,4,7,0,3,11
1,2174,1954,Graduation,Single,46344,1,1,11,1,6,2,1,6,1,1,2,5,0,3,11
18,7892,1969,Graduation,Single,18589,0,0,6,4,25,15,12,13,2,1,3,7,0,3,11
20,5255,1986,Graduation,Single,NaN,1,0,5,1,3,3,263,362,27,0,0,1,0,3,11
33,1371,1976,Graduation,Single,79941,0,0,123,164,266,227,30,174,2,4,9,1,0,3,11
…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1720,10968,1969,Graduation,Single,57731,0,1,266,21,300,65,8,44,8,8,6,6,0,3,11
1723,5959,1968,Graduation,Single,35893,1,1,158,0,23,0,0,18,3,1,5,8,0,3,11
1743,4201,1962,Graduation,Single,57967,0,1,229,7,137,4,0,91,4,2,8,5,0,3,11
1746,7004,1984,Graduation,Single,11012,1,0,24,3,26,7,1,23,3,1,2,9,0,3,11
1748,8080,1986,Graduation,Single,26816,0,0,5,1,6,3,4,3,0,0,3,4,0,3,11